model,vintage,sample,n_quarters,rmse,mae,bias
dfm,1,full,85,5.302880902204297,3.2711651359689404,2.1293378472481925
dfm,1,pre_covid,60,2.845038150606666,2.5053045153747604,2.0848430547489154
dfm,1,ex_covid,79,2.9035929672735503,2.532434705462399,2.1690572022634003
dfm,2,full,85,5.039139915069812,3.209713819087771,2.182637186704458
dfm,2,pre_covid,60,2.7860768437679786,2.461110393581522,2.074465270330301
dfm,2,ex_covid,79,2.864184937810897,2.513430170518668,2.180842631199431
dfm,3,full,85,5.252350413998252,3.231823301384728,2.1171990312216344
dfm,3,pre_covid,60,2.7666459784301813,2.4462169394999034,2.0751295696243988
dfm,3,ex_covid,79,2.8322139306308025,2.492618109640597,2.1603927408325014
